P1 P2 P3 Time
2 19 2 101105
2 19 3 100655
2 19 4 100505
2 19 5 100355
2 19 6 100355
2 19 7 100355
2 19 8 100205
2 19 9 100205
2 19 10 100205
2 19 11 100205
2 19 12 100205
2 19 13 100205
2 19 14 100205
2 19 15 100055
2 19 16 100055
2 19 17 100055
2 20 1 102155
2 20 2 101105
2 20 3 100655
2 20 4 100505
2 20 5 100355
2 20 6 100355
2 20 7 100355
2 20 8 100205
2 20 9 100205
2 20 10 100205
2 20 11 100205
2 20 12 100205
2 20 13 100205
2 20 14 100205
2 20 15 100055
2 20 16 100055
2 20 17 100055
2 21 1 102155
2 21 2 101105
2 21 3 100655
2 21 4 100505
2 21 5 100355
2 21 6 100355
2 21 7 100355
2 21 8 100205
2 21 9 100205
2 21 10 100205
2 21 11 100205
2 21 12 100205
2 21 13 100205
2 21 14 100205
2 21 15 100055
2 21 16 100055
2 21 17 100055
2 22 1 102155
2 22 2 101105
2 22 3 100655
2 22 4 100505
2 22 5 100355
2 22 6 100355
2 22 7 100355
2 22 8 100205
2 22 9 100205
2 22 10 100205
2 22 11 100205
2 22 12 100205
2 22 13 100205
2 22 14 100205
2 22 15 100055
2 22 16 100055
2 22 17 100055
2 23 1 102155
2 23 2 101105
2 23 3 100655
2 23 4 100505
2 23 5 100355
2 23 6 100355
2 23 7 100355
2 23 8 100205
2 23 9 100205
2 23 10 100205
2 23 11 100205
2 23 12 100205
2 23 13 100205
2 23 14 100205
2 23 15 100055
2 23 16 100055
2 23 17 100055
2 24 1 102015
2 24 2 100965
2 24 3 100515
2 24 4 100365
2 24 5 100215
2 24 6 100215
2 24 7 100215
2 24 8 100065
2 24 9 100065
2 24 10 100065
2 24 11 100065
2 24 12 100065
2 24 13 100065
2 24 14 100065
2 24 15 99915
2 24 16 99915
2 24 17 99915
2 25 1 102015
2 25 2 100965
2 25 3 100515
2 25 4 100365
2 25 5 100215
2 25 6 100215
2 25 7 100215
2 25 8 100065
2 25 9 100065
2 25 10 100065
2 25 11 100065
2 25 12 100065
2 25 13 100065
2 25 14 100065
2 25 15 99915
2 25 16 99915
2 25 17 99915
3 1 1 77435
3 1 2 76385
3 1 3 75935
3 1 4 75785
3 1 5 75635
3 1 6 75635
3 1 7 75635
3 1 8 75485
3 1 9 75485
3 1 10 75485
3 1 11 75485
3 1 12 75485
3 1 13 75485
3 1 14 75485
3 1 15 75335
3 1 16 75335
3 1 17 75335
3 2 1 75755
3 2 2 74705
3 2 3 74255
3 2 4 74105
3 2 5 73955
3 2 6 73955
3 2 7 73955
3 2 8 73805
3 2 9 73805
3 2 10 73805
3 2 11 73805
3 2 12 73805
3 2 13 73805
3 2 14 73805
3 2 15 73655
3 2 16 73655
3 2 17 73655
3 3 1 75195
3 3 2 74145
3 3 3 73695
3 3 4 73545
3 3 5 73395
3 3 6 73395
3 3 7 73395
3 3 8 73245
3 3 9 73245
3 3 10 73245
3 3 11 73245
3 3 12 73245
3 3 13 73245
3 3 14 73245
3 3 15 73095
3 3 16 73095
3 3 17 73095
3 4 1 74915
3 4 2 73865
3 4 3 73415
3 4 4 73265
3 4 5 73115
3 4 6 73115
3 4 7 73115
3 4 8 72965
3 4 9 72965
3 4 10 72965
3 4 11 72965
3 4 12 72965
3 4 13 72965
3 4 14 72965
3 4 15 72815
3 4 16 72815
3 4 17 72815
3 5 1 74775
3 5 2 73725
3 5 3 73275
3 5 4 73125
3 5 5 72975
3 5 6 72975
3 5 7 72975
3 5 8 72825
3 5 9 72825
3 5 10 72825
3 5 11 72825
3 5 12 72825
3 5 13 72825
3 5 14 72825
3 5 15 72675
3 5 16 72675
3 5 17 72675
3 6 1 74635
3 6 2 73585
3 6 3 73135
3 6 4 72985
3 6 5 72835
3 6 6 72835
3 6 7 72835
3 6 8 72685
3 6 9 72685
3 6 10 72685
3 6 11 72685
3 6 12 72685
3 6 13 72685
3 6 14 72685
3 6 15 72535
3 6 16 72535
3 6 17 72535
3 7 1 74635
3 7 2 73585
3 7 3 73135
3 7 4 72985
3 7 5 72835
3 7 6 72835
3 7 7 72835
3 7 8 72685
3 7 9 72685
3 7 10 72685
3 7 11 72685
3 7 12 72685
3 7 13 72685
3 7 14 72685
3 7 15 72535
3 7 16 72535
3 7 17 72535
3 8 1 74495
3 8 2 73445
3 8 3 72995
3 8 4 72845
